"","bhk","rent","size","floor","area_type","city","furnishing_status","tenant_preferred","bathroom","point_of_contact","total_floor"
"1157",2,45000,650,3,"Carpet Area","Mumbai","Furnished","Bachelors/Family",2,"Contact Agent",7
"1159",2,38000,700,-1,"Carpet Area","Mumbai","Unfurnished","Bachelors/Family",2,"Contact Agent",22
"1163",2,40000,625,6,"Carpet Area","Mumbai","Semi-Furnished","Bachelors",2,"Contact Agent",14
"1167",2,40000,750,2,"Carpet Area","Mumbai","Unfurnished","Family",2,"Contact Agent",8
"1168",2,45000,750,2,"Super Area","Mumbai","Furnished","Bachelors",2,"Contact Owner",8
"1169",2,52000,550,3,"Carpet Area","Mumbai","Furnished","Bachelors/Family",2,"Contact Agent",9
"1173",3,65000,1000,5,"Carpet Area","Mumbai","Semi-Furnished","Bachelors/Family",3,"Contact Agent",10
"1174",2,50000,770,4,"Carpet Area","Mumbai","Unfurnished","Bachelors/Family",2,"Contact Agent",14
"1175",2,54000,800,3,"Carpet Area","Mumbai","Unfurnished","Family",2,"Contact Agent",7
"1177",1,60000,550,12,"Carpet Area","Mumbai","Furnished","Bachelors",2,"Contact Agent",20
"1178",2,65000,800,10,"Carpet Area","Mumbai","Unfurnished","Family",2,"Contact Agent",14
"1179",2,35000,615,6,"Carpet Area","Mumbai","Unfurnished","Family",2,"Contact Agent",14
"1180",2,43000,663,25,"Carpet Area","Mumbai","Unfurnished","Bachelors/Family",2,"Contact Agent",43
"1181",1,20000,400,3,"Carpet Area","Mumbai","Semi-Furnished","Bachelors/Family",1,"Contact Owner",4
"1182",2,57000,625,9,"Carpet Area","Mumbai","Furnished","Bachelors",2,"Contact Agent",18
"1184",1,25000,425,3,"Carpet Area","Mumbai","Unfurnished","Bachelors",1,"Contact Agent",5
"1185",2,56000,649,5,"Carpet Area","Mumbai","Semi-Furnished","Bachelors",2,"Contact Agent",22
"1186",2,55000,905,10,"Carpet Area","Mumbai","Unfurnished","Bachelors",2,"Contact Agent",37
"1187",2,18000,882,10,"Super Area","Mumbai","Unfurnished","Bachelors",2,"Contact Owner",22
"1191",1,45000,225,3,"Carpet Area","Mumbai","Unfurnished","Bachelors",1,"Contact Owner",6
"1192",2,39000,720,-1,"Carpet Area","Mumbai","Unfurnished","Bachelors/Family",2,"Contact Agent",22
"1193",1,12500,555,6,"Super Area","Mumbai","Unfurnished","Bachelors",1,"Contact Owner",7
"1194",1,35000,415,2,"Super Area","Mumbai","Unfurnished","Bachelors/Family",1,"Contact Owner",7
"1195",2,55000,649,4,"Carpet Area","Mumbai","Semi-Furnished","Bachelors",2,"Contact Agent",22
"1198",2,25000,1065,15,"Super Area","Mumbai","Furnished","Bachelors/Family",2,"Contact Owner",15
"1201",1,55000,500,8,"Carpet Area","Mumbai","Unfurnished","Bachelors",1,"Contact Agent",18
"1204",2,25000,500,1,"Carpet Area","Mumbai","Furnished","Bachelors/Family",1,"Contact Owner",3
"1205",1,35000,450,2,"Super Area","Mumbai","Unfurnished","Bachelors/Family",1,"Contact Owner",7
"1207",1,27000,495,5,"Super Area","Mumbai","Furnished","Bachelors/Family",2,"Contact Owner",7
"1208",1,25000,407,5,"Super Area","Mumbai","Unfurnished","Bachelors/Family",2,"Contact Owner",23
"1210",2,32000,610,11,"Carpet Area","Mumbai","Unfurnished","Family",2,"Contact Agent",18
"1211",1,40000,500,13,"Super Area","Mumbai","Furnished","Bachelors/Family",2,"Contact Owner",14
"1212",2,52000,750,4,"Carpet Area","Mumbai","Unfurnished","Bachelors/Family",2,"Contact Agent",20
"1214",2,55000,850,6,"Carpet Area","Mumbai","Furnished","Bachelors/Family",2,"Contact Agent",10
"1215",1,30000,350,5,"Carpet Area","Mumbai","Unfurnished","Bachelors/Family",1,"Contact Agent",16
"1216",1,20000,300,2,"Carpet Area","Mumbai","Semi-Furnished","Bachelors/Family",1,"Contact Agent",12
"1218",1,40000,415,15,"Carpet Area","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Agent",22
"1219",1,21000,450,3,"Carpet Area","Mumbai","Unfurnished","Bachelors",2,"Contact Agent",13
"1220",3,43000,850,8,"Carpet Area","Mumbai","Unfurnished","Family",3,"Contact Agent",14
"1221",2,58000,805,30,"Carpet Area","Mumbai","Semi-Furnished","Bachelors/Family",3,"Contact Agent",58
"1224",2,46000,669,15,"Carpet Area","Mumbai","Unfurnished","Bachelors",2,"Contact Agent",43
"1225",1,6500,325,7,"Carpet Area","Mumbai","Unfurnished","Family",1,"Contact Agent",16
"1226",1,21000,600,5,"Super Area","Mumbai","Furnished","Bachelors/Family",1,"Contact Owner",6
"1227",2,46000,725,-1,"Carpet Area","Mumbai","Unfurnished","Bachelors/Family",2,"Contact Agent",16
"1228",2,60000,750,5,"Carpet Area","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Agent",9
"1229",3,65000,1050,13,"Carpet Area","Mumbai","Semi-Furnished","Bachelors",3,"Contact Agent",21
"1230",2,15000,600,18,"Carpet Area","Mumbai","Unfurnished","Bachelors/Family",2,"Contact Owner",28
"1233",2,62000,650,11,"Carpet Area","Mumbai","Unfurnished","Family",2,"Contact Agent",25
"1237",3,55000,999,14,"Carpet Area","Mumbai","Semi-Furnished","Family",2,"Contact Agent",23
"1244",1,13000,385,6,"Carpet Area","Mumbai","Unfurnished","Family",1,"Contact Agent",20
"1246",1,35000,480,1,"Carpet Area","Mumbai","Semi-Furnished","Family",2,"Contact Agent",7
"1249",1,26000,434,5,"Carpet Area","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Agent",22
"1251",1,8000,620,6,"Super Area","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Owner",8
"1253",1,52000,470,6,"Carpet Area","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Agent",7
"1254",1,13000,410,2,"Carpet Area","Mumbai","Unfurnished","Family",1,"Contact Agent",7
"1255",3,45000,850,5,"Carpet Area","Mumbai","Unfurnished","Family",3,"Contact Agent",7
"1257",2,63000,888,12,"Carpet Area","Mumbai","Furnished","Bachelors/Family",2,"Contact Agent",20
"1258",1,7500,380,3,"Carpet Area","Mumbai","Unfurnished","Bachelors",2,"Contact Owner",7
"1259",1,30000,360,4,"Carpet Area","Mumbai","Unfurnished","Bachelors/Family",1,"Contact Agent",20
"1260",1,28500,565,1,"Super Area","Mumbai","Furnished","Bachelors/Family",2,"Contact Owner",8
"1263",2,38000,661,17,"Carpet Area","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Agent",36
"1264",1,26000,450,9,"Carpet Area","Mumbai","Unfurnished","Family",2,"Contact Agent",20
"1266",2,41000,600,4,"Carpet Area","Mumbai","Furnished","Family",2,"Contact Agent",8
"1267",2,27000,900,0,"Super Area","Mumbai","Semi-Furnished","Bachelors/Family",3,"Contact Owner",4
"1268",1,53000,379,21,"Carpet Area","Mumbai","Semi-Furnished","Bachelors",1,"Contact Agent",23
"1269",2,65000,805,8,"Carpet Area","Mumbai","Semi-Furnished","Family",3,"Contact Agent",58
"1271",1,6000,500,8,"Super Area","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Owner",10
"1272",1,43000,480,5,"Carpet Area","Mumbai","Furnished","Family",2,"Contact Agent",7
"1273",2,65000,550,1,"Super Area","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Owner",7
"1277",3,65000,1050,3,"Carpet Area","Mumbai","Unfurnished","Bachelors",3,"Contact Agent",62
"1279",1,40000,450,8,"Carpet Area","Mumbai","Semi-Furnished","Bachelors/Family",1,"Contact Agent",13
"1280",1,23000,440,0,"Carpet Area","Mumbai","Semi-Furnished","Bachelors",1,"Contact Agent",4
"1281",3,55000,932,3,"Super Area","Mumbai","Unfurnished","Bachelors/Family",3,"Contact Owner",8
"1282",1,15000,270,15,"Carpet Area","Mumbai","Unfurnished","Bachelors",2,"Contact Owner",15
"1283",1,52000,379,23,"Carpet Area","Mumbai","Semi-Furnished","Bachelors",2,"Contact Agent",23
"1284",2,13000,582,5,"Carpet Area","Mumbai","Furnished","Family",2,"Contact Owner",8
"1286",1,25000,444,7,"Carpet Area","Mumbai","Unfurnished","Bachelors/Family",2,"Contact Agent",17
"1287",1,21000,428,12,"Carpet Area","Mumbai","Unfurnished","Bachelors/Family",1,"Contact Agent",21
"1289",2,60000,888,5,"Carpet Area","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Agent",20
"1290",1,19000,490,0,"Super Area","Mumbai","Unfurnished","Bachelors/Family",1,"Contact Owner",8
"1292",2,30000,710,12,"Carpet Area","Mumbai","Unfurnished","Family",2,"Contact Agent",21
"1296",2,65000,950,9,"Carpet Area","Mumbai","Furnished","Bachelors/Family",2,"Contact Agent",28
"1297",1,33000,460,10,"Carpet Area","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Agent",25
"1298",1,36000,585,10,"Super Area","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Agent",14
"1299",2,22000,550,2,"Carpet Area","Mumbai","Furnished","Family",2,"Contact Agent",7
"1300",1,17000,375,9,"Carpet Area","Mumbai","Unfurnished","Bachelors/Family",1,"Contact Agent",20
"1301",2,55000,700,10,"Carpet Area","Mumbai","Furnished","Bachelors/Family",2,"Contact Agent",20
"1302",2,66000,750,2,"Carpet Area","Mumbai","Unfurnished","Family",2,"Contact Agent",8
"1305",2,32000,750,3,"Super Area","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Owner",7
"1306",2,45000,730,5,"Carpet Area","Mumbai","Unfurnished","Family",2,"Contact Agent",17
"1307",2,50000,750,10,"Carpet Area","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Agent",20
"1308",1,18500,229,5,"Super Area","Mumbai","Semi-Furnished","Bachelors/Family",1,"Contact Owner",9
"1309",2,51000,910,10,"Carpet Area","Mumbai","Unfurnished","Bachelors",2,"Contact Agent",19
"1312",1,30000,560,2,"Carpet Area","Mumbai","Unfurnished","Bachelors",2,"Contact Agent",4
"1314",1,15000,450,2,"Super Area","Mumbai","Unfurnished","Family",1,"Contact Owner",4
"1315",2,50000,820,7,"Carpet Area","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Agent",28
"1316",2,60000,750,10,"Carpet Area","Mumbai","Unfurnished","Bachelors/Family",2,"Contact Agent",20
"1317",1,23000,410,4,"Carpet Area","Mumbai","Unfurnished","Bachelors/Family",1,"Contact Agent",7
"1318",1,14500,490,12,"Carpet Area","Mumbai","Unfurnished","Bachelors/Family",2,"Contact Owner",20
"1319",2,40000,700,11,"Carpet Area","Mumbai","Unfurnished","Bachelors/Family",2,"Contact Agent",15
"1322",2,55000,650,8,"Carpet Area","Mumbai","Unfurnished","Bachelors/Family",2,"Contact Agent",18
"1323",1,12000,520,2,"Super Area","Mumbai","Semi-Furnished","Bachelors/Family",1,"Contact Owner",3
"1324",2,45000,850,9,"Carpet Area","Mumbai","Unfurnished","Bachelors/Family",2,"Contact Agent",12
"1326",2,43000,771,15,"Carpet Area","Mumbai","Unfurnished","Bachelors/Family",2,"Contact Agent",37
"1327",1,22000,400,3,"Carpet Area","Mumbai","Unfurnished","Bachelors/Family",1,"Contact Agent",7
"1328",2,20000,600,7,"Carpet Area","Mumbai","Furnished","Family",2,"Contact Agent",7
"1329",1,26000,390,-1,"Carpet Area","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Agent",7
"1331",1,34999,450,5,"Carpet Area","Mumbai","Furnished","Bachelors/Family",2,"Contact Agent",12
"1332",1,35000,500,7,"Super Area","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Owner",23
"1333",1,50000,410,6,"Carpet Area","Mumbai","Semi-Furnished","Bachelors/Family",1,"Contact Agent",12
"1334",1,16000,160,2,"Carpet Area","Mumbai","Unfurnished","Bachelors/Family",1,"Contact Owner",3
"1335",2,55000,750,10,"Carpet Area","Mumbai","Unfurnished","Bachelors/Family",2,"Contact Agent",14
"1336",1,39000,585,3,"Super Area","Mumbai","Unfurnished","Family",2,"Contact Agent",7
"1338",1,25000,350,2,"Carpet Area","Mumbai","Furnished","Bachelors/Family",1,"Contact Owner",17
"1339",1,25000,490,3,"Super Area","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Owner",7
"1340",2,49500,650,5,"Carpet Area","Mumbai","Unfurnished","Family",2,"Contact Agent",16
"1341",1,21000,225,6,"Carpet Area","Mumbai","Unfurnished","Bachelors/Family",1,"Contact Owner",24
"1343",1,21000,385,0,"Super Area","Mumbai","Unfurnished","Bachelors/Family",1,"Contact Owner",5
"1344",2,46700,800,2,"Carpet Area","Mumbai","Unfurnished","Family",2,"Contact Agent",7
"1347",1,18000,300,3,"Super Area","Mumbai","Unfurnished","Bachelors/Family",1,"Contact Owner",10
"1351",2,38000,700,14,"Carpet Area","Mumbai","Unfurnished","Bachelors/Family",2,"Contact Agent",23
"1352",1,20000,465,3,"Super Area","Mumbai","Semi-Furnished","Bachelors",1,"Contact Owner",4
"1355",1,21000,450,4,"Super Area","Mumbai","Unfurnished","Bachelors/Family",1,"Contact Owner",7
"1358",2,34000,600,4,"Carpet Area","Mumbai","Unfurnished","Bachelors",2,"Contact Agent",7
"1359",2,55000,650,5,"Carpet Area","Mumbai","Unfurnished","Bachelors/Family",2,"Contact Agent",15
"1360",2,52000,550,3,"Carpet Area","Mumbai","Furnished","Bachelors",2,"Contact Agent",3
"1363",2,45000,650,2,"Carpet Area","Mumbai","Unfurnished","Bachelors/Family",2,"Contact Agent",12
"1364",1,22000,575,14,"Super Area","Mumbai","Unfurnished","Bachelors/Family",1,"Contact Owner",14
"1365",1,32000,475,3,"Super Area","Mumbai","Furnished","Bachelors/Family",1,"Contact Owner",4
"1366",2,34000,830,9,"Carpet Area","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Agent",21
"1368",1,23000,420,5,"Carpet Area","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Agent",7
"1369",1,20000,310,0,"Carpet Area","Mumbai","Unfurnished","Bachelors",1,"Contact Agent",7
"1372",1,55000,505,4,"Carpet Area","Mumbai","Semi-Furnished","Bachelors/Family",1,"Contact Agent",12
"1373",1,15000,275,3,"Super Area","Mumbai","Unfurnished","Bachelors/Family",1,"Contact Owner",7
"1374",2,22000,640,21,"Carpet Area","Mumbai","Semi-Furnished","Family",2,"Contact Agent",21
"1375",3,60000,1500,10,"Carpet Area","Mumbai","Semi-Furnished","Bachelors/Family",3,"Contact Agent",23
"1376",2,49000,850,10,"Carpet Area","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Agent",23
"1377",2,34000,900,12,"Carpet Area","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Agent",25
"1378",1,24000,430,6,"Carpet Area","Mumbai","Furnished","Bachelors/Family",2,"Contact Agent",7
"1382",2,32000,680,5,"Carpet Area","Mumbai","Unfurnished","Family",2,"Contact Agent",20
"1383",2,24000,600,5,"Carpet Area","Mumbai","Semi-Furnished","Bachelors",2,"Contact Owner",7
"1386",2,45000,771,20,"Carpet Area","Mumbai","Unfurnished","Bachelors/Family",2,"Contact Agent",37
"1388",2,37000,800,5,"Super Area","Mumbai","Semi-Furnished","Bachelors",2,"Contact Agent",14
"1391",1,25000,475,11,"Carpet Area","Mumbai","Unfurnished","Bachelors",2,"Contact Agent",15
"1395",1,26000,650,1,"Super Area","Mumbai","Semi-Furnished","Bachelors/Family",1,"Contact Owner",3
"1396",2,27000,600,18,"Carpet Area","Mumbai","Unfurnished","Bachelors",2,"Contact Agent",20
"1397",1,26000,649,3,"Super Area","Mumbai","Unfurnished","Bachelors/Family",1,"Contact Owner",3
"1398",2,60000,950,2,"Carpet Area","Mumbai","Furnished","Bachelors",2,"Contact Agent",8
"1399",1,12000,225,7,"Carpet Area","Mumbai","Unfurnished","Family",1,"Contact Owner",7
"1401",1,30000,330,13,"Carpet Area","Mumbai","Furnished","Family",1,"Contact Agent",40
"1405",2,20000,630,4,"Carpet Area","Mumbai","Unfurnished","Family",2,"Contact Agent",22
"1406",2,22000,670,4,"Carpet Area","Mumbai","Furnished","Family",2,"Contact Agent",12
"1407",1,32000,450,1,"Super Area","Mumbai","Furnished","Bachelors/Family",1,"Contact Owner",5
"1408",1,20000,265,6,"Super Area","Mumbai","Unfurnished","Bachelors/Family",1,"Contact Owner",7
"1409",2,50000,600,9,"Carpet Area","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Agent",11
"1410",2,29000,670,7,"Carpet Area","Mumbai","Unfurnished","Family",2,"Contact Owner",7
"1411",2,45000,650,10,"Carpet Area","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Agent",18
"1412",1,6500,422,9,"Carpet Area","Mumbai","Semi-Furnished","Family",2,"Contact Agent",15
"1413",2,55000,955,8,"Carpet Area","Mumbai","Unfurnished","Bachelors/Family",2,"Contact Agent",22
"1415",1,18500,300,3,"Carpet Area","Mumbai","Unfurnished","Bachelors",1,"Contact Owner",4
"1416",2,50000,900,5,"Carpet Area","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Owner",17
"1417",2,45000,785,2,"Carpet Area","Mumbai","Unfurnished","Bachelors",2,"Contact Agent",7
"1420",1,25000,400,18,"Carpet Area","Mumbai","Unfurnished","Bachelors",1,"Contact Agent",23
"1423",1,20000,625,10,"Super Area","Mumbai","Semi-Furnished","Bachelors/Family",1,"Contact Owner",12
"1424",2,30000,720,5,"Carpet Area","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Agent",14
"1428",2,32000,700,0,"Carpet Area","Mumbai","Furnished","Bachelors/Family",2,"Contact Agent",7
"1429",1,22000,377,3,"Super Area","Mumbai","Unfurnished","Bachelors/Family",2,"Contact Owner",23
"1430",2,35000,650,5,"Carpet Area","Mumbai","Semi-Furnished","Family",2,"Contact Agent",6
"1431",2,47000,650,5,"Carpet Area","Mumbai","Unfurnished","Bachelors/Family",2,"Contact Agent",7
"1433",2,31000,700,2,"Super Area","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Owner",8
"1434",1,60000,430,1,"Carpet Area","Mumbai","Furnished","Bachelors/Family",1,"Contact Agent",7
"1435",2,58000,650,15,"Carpet Area","Mumbai","Unfurnished","Family",2,"Contact Agent",24
"1437",2,45000,965,19,"Super Area","Mumbai","Unfurnished","Bachelors/Family",2,"Contact Agent",27
"1438",1,7500,630,3,"Super Area","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Agent",12
"1443",3,66000,1100,17,"Carpet Area","Mumbai","Semi-Furnished","Bachelors/Family",3,"Contact Agent",22
"1444",1,45000,450,5,"Carpet Area","Mumbai","Semi-Furnished","Bachelors",1,"Contact Agent",7
"1445",1,22000,500,3,"Super Area","Mumbai","Unfurnished","Bachelors/Family",1,"Contact Owner",4
"1446",3,65000,1100,9,"Carpet Area","Mumbai","Semi-Furnished","Bachelors",3,"Contact Agent",20
"1447",3,55000,868,9,"Carpet Area","Mumbai","Unfurnished","Family",3,"Contact Agent",21
"1448",2,55000,750,6,"Carpet Area","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Agent",15
"1449",1,36000,540,2,"Super Area","Mumbai","Unfurnished","Bachelors/Family",2,"Contact Owner",3
"1451",1,22000,450,4,"Carpet Area","Mumbai","Semi-Furnished","Family",2,"Contact Agent",7
"1453",1,34000,560,3,"Super Area","Mumbai","Semi-Furnished","Bachelors",2,"Contact Owner",7
"1454",1,45000,500,2,"Carpet Area","Mumbai","Unfurnished","Bachelors",1,"Contact Agent",3
"1455",1,14000,305,2,"Carpet Area","Mumbai","Unfurnished","Bachelors/Family",1,"Contact Agent",24
"1457",1,7000,480,4,"Carpet Area","Mumbai","Unfurnished","Bachelors/Family",1,"Contact Owner",4
"1458",2,55000,720,1,"Carpet Area","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Agent",6
"1459",2,55000,950,7,"Carpet Area","Mumbai","Semi-Furnished","Family",2,"Contact Agent",10
"1462",2,42000,774,10,"Carpet Area","Mumbai","Semi-Furnished","Family",2,"Contact Agent",20
"1463",1,27000,450,2,"Super Area","Mumbai","Unfurnished","Family",1,"Contact Agent",3
"1464",3,60000,1000,1,"Carpet Area","Mumbai","Semi-Furnished","Bachelors",3,"Contact Agent",10
"1465",1,17000,340,1,"Super Area","Mumbai","Semi-Furnished","Bachelors/Family",1,"Contact Owner",8
"1466",1,30000,430,14,"Carpet Area","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Agent",23
"1467",2,45000,722,4,"Carpet Area","Mumbai","Unfurnished","Bachelors/Family",2,"Contact Agent",7
"1469",1,25000,641,3,"Super Area","Mumbai","Unfurnished","Bachelors/Family",1,"Contact Owner",8
"1473",2,20000,700,8,"Super Area","Mumbai","Unfurnished","Family",2,"Contact Owner",22
"1474",1,35000,420,0,"Super Area","Mumbai","Semi-Furnished","Bachelors/Family",1,"Contact Owner",3
"1476",2,54500,758,12,"Carpet Area","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Agent",24
"1478",1,45000,480,7,"Carpet Area","Mumbai","Furnished","Bachelors/Family",2,"Contact Agent",7
"1479",1,38000,550,6,"Carpet Area","Mumbai","Unfurnished","Bachelors",2,"Contact Agent",10
"1481",1,22000,400,8,"Super Area","Mumbai","Unfurnished","Bachelors/Family",1,"Contact Owner",22
"1484",1,50000,400,10,"Carpet Area","Mumbai","Semi-Furnished","Bachelors/Family",1,"Contact Agent",22
"1487",2,40000,800,1,"Super Area","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Owner",3
"1488",2,32000,590,7,"Carpet Area","Mumbai","Unfurnished","Family",2,"Contact Agent",12
"1491",2,45000,670,17,"Carpet Area","Mumbai","Unfurnished","Bachelors/Family",2,"Contact Agent",22
"1492",2,65000,960,16,"Carpet Area","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Agent",38
"1493",2,65000,1500,4,"Super Area","Mumbai","Semi-Furnished","Bachelors/Family",3,"Contact Owner",4
"1494",1,35000,500,1,"Super Area","Mumbai","Semi-Furnished","Bachelors/Family",1,"Contact Owner",5
"1498",2,10500,800,3,"Super Area","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",4
"1499",2,13000,1000,0,"Super Area","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",4
"1500",2,17000,1040,4,"Super Area","Bangalore","Furnished","Bachelors/Family",2,"Contact Owner",4
"1501",3,21000,1403,1,"Super Area","Bangalore","Semi-Furnished","Bachelors/Family",3,"Contact Owner",4
"1502",2,10000,600,3,"Super Area","Bangalore","Furnished","Bachelors/Family",1,"Contact Owner",4
"1503",4,61500,2608,1,"Carpet Area","Bangalore","Semi-Furnished","Bachelors",3,"Contact Agent",4
"1504",2,13000,850,1,"Carpet Area","Bangalore","Semi-Furnished","Family",2,"Contact Agent",3
"1505",1,7500,400,1,"Super Area","Bangalore","Unfurnished","Bachelors/Family",1,"Contact Owner",2
"1506",2,17000,1000,3,"Super Area","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",4
"1507",3,25000,1350,5,"Carpet Area","Bangalore","Semi-Furnished","Bachelors",3,"Contact Owner",14
"1508",2,10500,800,1,"Carpet Area","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",2
"1509",1,8000,350,3,"Super Area","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner",3
"1510",1,9500,900,0,"Super Area","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner",2
"1511",3,50000,2000,1,"Carpet Area","Bangalore","Semi-Furnished","Bachelors/Family",3,"Contact Agent",2
"1512",2,13000,700,1,"Super Area","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",4
"1513",1,13500,600,1,"Super Area","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner",4
"1514",2,13000,700,0,"Carpet Area","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner",1
"1515",1,15000,600,2,"Super Area","Bangalore","Semi-Furnished","Bachelors",1,"Contact Agent",4
"1516",2,15000,1400,0,"Super Area","Bangalore","Furnished","Bachelors/Family",3,"Contact Owner",1
"1517",1,7000,600,0,"Super Area","Bangalore","Unfurnished","Bachelors/Family",1,"Contact Owner",3
"1518",2,25000,770,8,"Super Area","Bangalore","Furnished","Bachelors/Family",2,"Contact Owner",32
"1519",2,17000,900,1,"Carpet Area","Bangalore","Semi-Furnished","Family",2,"Contact Owner",2
"1520",1,7500,500,0,"Super Area","Bangalore","Furnished","Bachelors/Family",1,"Contact Owner",3
"1521",2,15000,1100,1,"Super Area","Bangalore","Unfurnished","Bachelors/Family",2,"Contact Owner",2
"1522",1,7500,500,1,"Super Area","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner",2
"1523",3,25000,1260,0,"Super Area","Bangalore","Furnished","Bachelors/Family",3,"Contact Owner",2
"1524",3,54000,1750,2,"Carpet Area","Bangalore","Semi-Furnished","Bachelors/Family",3,"Contact Agent",4
"1525",1,14500,600,1,"Carpet Area","Bangalore","Semi-Furnished","Bachelors",1,"Contact Agent",3
"1526",1,4500,450,0,"Super Area","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner",3
"1527",2,10500,800,3,"Super Area","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner",4
"1528",1,5500,400,0,"Super Area","Bangalore","Unfurnished","Bachelors/Family",1,"Contact Owner",2
"1529",2,16000,600,1,"Carpet Area","Bangalore","Unfurnished","Bachelors",2,"Contact Owner",2
"1530",1,7000,400,0,"Super Area","Bangalore","Unfurnished","Bachelors/Family",1,"Contact Owner",2
"1531",2,12500,900,0,"Super Area","Bangalore","Furnished","Bachelors/Family",2,"Contact Owner",3
"1532",2,10000,1200,0,"Super Area","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner",4
"1533",2,18000,1045,1,"Carpet Area","Bangalore","Semi-Furnished","Bachelors",2,"Contact Owner",2
"1534",3,28000,1021,10,"Carpet Area","Bangalore","Furnished","Bachelors",3,"Contact Owner",10
"1535",3,12000,1200,0,"Super Area","Bangalore","Unfurnished","Bachelors/Family",2,"Contact Owner",4
"1536",2,13000,1000,1,"Carpet Area","Bangalore","Unfurnished","Bachelors/Family",1,"Contact Owner",3
"1537",2,50000,1280,2,"Carpet Area","Bangalore","Furnished","Bachelors/Family",2,"Contact Agent",12
"1538",1,7000,450,1,"Carpet Area","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner",2
"1539",2,30000,450,2,"Super Area","Bangalore","Unfurnished","Bachelors/Family",2,"Contact Owner",3
"1540",1,10000,600,3,"Super Area","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",4
"1541",2,15000,800,2,"Super Area","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",3
"1542",1,7500,500,2,"Super Area","Bangalore","Unfurnished","Bachelors/Family",1,"Contact Owner",4
"1543",3,45000,1680,7,"Super Area","Bangalore","Semi-Furnished","Bachelors/Family",3,"Contact Agent",19
"1544",3,65000,2000,23,"Carpet Area","Bangalore","Semi-Furnished","Bachelors",3,"Contact Agent",40
"1545",1,12000,500,1,"Carpet Area","Bangalore","Semi-Furnished","Bachelors",1,"Contact Agent",4
"1546",1,7000,500,2,"Carpet Area","Bangalore","Semi-Furnished","Bachelors",1,"Contact Owner",2
"1547",1,9000,800,2,"Super Area","Bangalore","Unfurnished","Bachelors/Family",1,"Contact Owner",3
"1548",2,23000,1100,2,"Super Area","Bangalore","Semi-Furnished","Family",2,"Contact Owner",3
"1549",2,30000,1200,3,"Super Area","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",4
"1550",1,8000,500,2,"Carpet Area","Bangalore","Unfurnished","Bachelors/Family",1,"Contact Owner",3
